Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1178066,-,-,-,45.01,-76.02,-5,138,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2000,1,1,0,30,0,0,0,0.6000000000000001,-4,157.55
2000,1,1,1,30,0,0,0,0.5,-4,152.31
2000,1,1,2,30,0,0,0,0.4,-4,143.64000000000001
2000,1,1,3,30,0,0,0,0.4,-4,133.56
2000,1,1,4,30,0,0,0,0.4,-3,123.01
2000,1,1,5,30,0,0,0,0.5,-3,112.47
2000,1,1,6,30,0,0,0,0.6000000000000001,-3,102.27
2000,1,1,7,30,0,0,0,0.7000000000000001,-2,92.7
2000,1,1,8,30,39,36,24,0.7000000000000001,-1,84.11
2000,1,1,9,30,115,88,120,0.8,0,76.91
2000,1,1,10,30,114,113,4,0.8,0,71.56
2000,1,1,11,30,231,151,220,1,0,68.56
2000,1,1,12,30,372,101,729,1,1,68.21000000000001
2000,1,1,13,30,137,128,26,0.9,1,70.57000000000001
2000,1,1,14,30,230,79,596,0.8,1,75.36
2000,1,1,15,30,31,31,0,0.6000000000000001,0,82.15
2000,1,1,16,30,0,0,0,0.4,0,90.42
2000,1,1,17,30,0,0,0,0.4,-1,99.79
2000,1,1,18,30,0,0,0,0.4,-2,109.86
2000,1,1,19,30,0,0,0,0.30000000000000004,-2,120.34
2000,1,1,20,30,0,0,0,0.30000000000000004,-2,130.91
