Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,221714,-,-,-,46.01,-122.02,-8,792,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2000,1,1,0,30,0,0,0,0,0,156.72
2000,1,1,1,30,0,0,0,0,0,152.06
2000,1,1,2,30,0,0,0,0,0,143.83
2000,1,1,3,30,0,0,0,0,0,134.05
2000,1,1,4,30,0,0,0,0,0,123.71000000000001
2000,1,1,5,30,0,0,0,0,0,113.34
2000,1,1,6,30,0,0,0,0,0,103.27
2000,1,1,7,30,0,0,0,0.1,0,93.81
2000,1,1,8,30,9,9,0,0.1,0,85.29
2000,1,1,9,30,47,47,0,0.1,0,78.12
2000,1,1,10,30,89,89,0,0.1,0,72.76
2000,1,1,11,30,33,33,0,0.1,0,69.65
2000,1,1,12,30,35,35,0,0.1,0,69.14
2000,1,1,13,30,99,99,0,0.1,0,71.26
2000,1,1,14,30,104,95,40,0.1,0,75.8
2000,1,1,15,30,49,47,15,0.1,0,82.33
2000,1,1,16,30,0,0,0,0.1,0,90.37
2000,1,1,17,30,0,0,0,0.1,0,99.52
2000,1,1,18,30,0,0,0,0.1,0,109.39
2000,1,1,19,30,0,0,0,0.1,0,119.67
2000,1,1,20,30,0,0,0,0.1,0,130.06
2000,1,1,21,30,0,0,0,0,0,140.13
2000,1,1,22,30,0,0,0,0,0,149.11
2000,1,1,23,30,0,0,0,0,0,155.45000000000002
2000,1,2,0,30,0,0,0,0,-1,156.65
2000,1,2,1,30,0,0,0,0,-1,152.04
2000,1,2,2,30,0,0,0,0,-1,143.84
